Mean endogenous RPM,Mean Reporter RPM*Mean Reporter Edit fraction
9.276379,1.67448
18.0519,0
13.84563,2.801647
0,0
0.320205,0
0,0
24.43891,10.61218
11.49245,0
94.96266,0.7725
89.83369,17.84515
74.48539,0
106.7808,55.00643
0.175261,0
7.930315,1.524285
5.217963,2.580816
15.79883,2.685638
7.328954,0
38.39231,0
5.390677,0
47.39908,6.972764
26.7849,0
44.26942,2.994844
50.20279,23.61347
45.35151,4.466041
59.22261,4.749183
52.48037,4.505096
70.76845,37.08762
73.39057,14.63056
7.971844,0
39.29484,0.321146
0,0
0,0
211.5962,10.36444
117.5468,15.17455
161.0405,0
224.8597,0.886976
86.18602,7.21858
40.54554,7.3983
128.1785,3.768598
118.167,1.290271
172.5478,35.92256
78.08316,3.540821
297.3699,0.747983
113.4646,1.633279
68.94865,0
33.86387,0
31.94247,4.361386
157.4107,0
100.2118,29.2272
95.72361,3.475601
97.81414,39.41635
206.2249,9.44962
249.1248,5.888698
140.8752,4.619121
223.9395,45.03921
0,0
284.277,20.93084
21.30352,0.621207
113.6514,10.6038
138.2731,9.926898
273.8125,42.37198
16.21321,0
0,0
239.453,18.20814
459.8359,2.332073
148.3159,0
0,0
104.3378,0
231.4831,44.24456
408.9805,9.474052
880.5509,5.347811
1101.52,93.47334
155.4853,47.82964
2086.025,211.4126
415.1842,94.81974
1249.262,0
1312.084,11.76139
242.0702,156.5919
1587.872,30.15908
847.9413,22.61523
612.7451,192.1693
934.9922,0
525.2235,0
1722.431,126.8455
927.2222,88.60028
435.2206,13.37615
589.855,94.61428
675.2798,69.24047
650.5373,93.30543
946.9159,175.4909
1287.34,143.352
1047.565,12.66335
184.2784,24.45364
535.9278,48.41405
1977.552,153.1186
1305.133,82.16688
837.0996,60.8813
955.2977,162.292
375.5472,152.4867
847.533,105.9206
844.5069,61.68549
679.6273,50.46017
927.0647,207.9829
1450.746,199.615
767.1949,161.1921
920.4204,193.3018
1276.402,283.0625
597.7852,154.0569
910.6248,207.3263
60.04861,0
630.3769,35.11902
400.2477,5.146476
686.161,187.5263
697.842,18.66263
910.7969,40.07938
24.49539,0
53.97596,0
141.6468,0
28.90948,0
43.51544,6.124114
46.12299,1.838585
13.4789,0
45.76704,0
64.91078,0
114.4102,1.495982
57.11158,0
60.47648,0
127.3935,0
109.8943,2.055994
169.5371,70.83632
158.6053,0
9.409602,0
63.8691,2.472117
553.5513,80.43901
26.77957,0
41.55415,0.589062
63.1894,0
