Mean endogenous RPM,Mean Reporter RPM
181.2016,600.18
0.128578,259.2103
214.7248,1016.217
229.7851,744.087
40.72663,631.075
8.625084,324.7538
116.8022,231.3582
503.0737,433.1107
408.6136,728.4421
600.4324,1053.785
22.01977,758.516
17.42982,355.9041
505.6828,663.9869
48.17392,547.4715
803.3486,1459.423
12.37623,369.2396
155.5014,945.9202
4.928076,284.5062
345.4711,642.3849
353.3481,1015.059
488.8498,823.7416
10.86619,337.4193
517.5492,1073.44
7.22723,260.6649
42.41909,304.7563
419.8234,382.5666
26.19634,487.5769
154.4429,591.5558
324.2675,936.8458
372.4746,461.4509
364.0366,807.4073
6.951295,408.8356
396.7891,763.5026
768.9779,1218.666
288.4648,1485.519
427.6598,1046.86
80.17127,908.3766
176.9859,660.4466
426.952,603.733
40.42053,469.4827
67.80008,627.3179
278.3044,491.1968
366.1994,666.6432
38.46079,468.5994
5.786016,243.6147
351.611,462.8358
267.1963,395.87
33.18128,238.6357
0,45.56025
0,65.3554
298.9476,344.2214
367.5142,908.0402
469.2797,565.4887
146.3327,317.8625
277.9653,386.2721
0,77.40052
809.9396,547.9303
303.9518,667.7269
988.8214,922.3282
275.009,404.0501
1138.057,655.1265
876.6878,483.0981
987.3595,751.8508
651.8018,758.4617
372.2692,851.0338
25.20605,1368.789
890.3011,652.7363
912.4869,740.3351
319.3193,613.5939
604.0674,674.2948
697.376,756.6961
882.4084,591.8481
1117.555,726.2036
0,1291.017
22.87803,743.4406
0,472.3037
22.81688,703.0333
0.175261,700.9584
0,525.6138
0,757.46
28.35977,959.1325
12.50637,477.3178
0,631.0969
0,1010.463
0.175261,818.9117
6.943219,795.1454
0,817.4882
4.783133,383.087
0,1065.968
0,921.2109
19.37558,511.9975
229.6758,1090.24
789.8968,1421.444
65.54506,543.4146
0,1385.017
112.5316,1034.071
75.14624,524.5945
132.7927,822.9595
393.4691,1212.085
625.9655,775.6819
46.91112,952.1728
45.2101,558.1933
78.46426,727.8007
109.5376,622.7922
81.80419,657.1404
42.83004,532.4244
48.18817,903.8018
277.2986,1092.727
704.2492,901.1295
5.103337,787.7737
164.538,972.3442
19.62925,773.9072
0,613.475
0,237.3786
15.00788,1034.306
5.07302,718.3341
0,843.7773
0,613.2203
0,498.9841
0,381.6394
4.638189,1001.31
0,429.1905
0,639.0128
14.54667,867.017
27.52958,794.5032
23.40132,894.656
13.37213,802.9778
23.88455,520.8867
0,726.3443
17.53815,766.7658
