Control,Stop,Synonymous,Missense
,,,-1.00783
,,,-1.00396
,,,-0.99821
,,,-0.99799
,,,-0.99747
,,,-0.99388
,,,-0.99342
,,,-0.99241
,,,-0.9918
,,,-0.99071
,,,-0.98993
,,,-0.98884
,,,-0.98369
,,,-0.98335
,,,-0.98287
,,,-0.9827
,,,-0.9796
,,,-0.97835
,,,-0.97724
,,,-0.97589
,,,-0.9753
,,,-0.9716
,,,-0.96862
,,,-0.96762
,,,-0.96492
,,,-0.96112
,,,-0.95928
,,,-0.95617
,,,-0.95281
,,,-0.95181
,,,-0.94974
,,,-0.94584
,,,-0.94268
,,,-0.94262
,,,-0.94161
,,,-0.94125
,,,-0.94106
,,,-0.94079
,,,-0.94022
,,,-0.93894
,,,-0.93522
,,,-0.93105
,,,-0.92988
,,,-0.92761
,,,-0.92668
,,,-0.92584
,,,-0.92545
,,,-0.92368
,,,-0.92333
,,,-0.92123
,,,-0.9203
,,,-0.91898
,,,-0.91791
,,,-0.91787
,,,-0.91647
,,,-0.9148
,,,-0.91201
,,,-0.90994
,,,-0.90563
,,,-0.90036
,,,-0.89958
,,,-0.8987
,,,-0.89718
,,,-0.89419
,,,-0.89395
,,,-0.89293
,,,-0.8917
,,,-0.89111
,,,-0.89104
,,,-0.89005
,,,-0.88947
,,,-0.88911
,,,-0.8885
,,,-0.88692
,,,-0.88687
,,,-0.88614
,,,-0.88537
,,,-0.88463
,,,-0.88265
,,,-0.88259
,,,-0.88098
,,,-0.87845
,,,-0.87699
,,,-0.87541
,,,-0.87397
,,,-0.87346
,,,-0.87311
,,,-0.87102
,,,-0.86994
,,,-0.86669
,,,-0.86637
,,,-0.86383
,,,-0.86345
,,,-0.86156
,,,-0.85926
,,,-0.85724
,,,-0.85465
,,,-0.85386
,,,-0.85381
,,,-0.85239
,,,-0.85138
,,,-0.85018
,,,-0.85008
,,,-0.84947
,,,-0.84765
,,,-0.84701
,,,-0.84514
,,,-0.84492
,,,-0.84328
,,,-0.84294
,,,-0.84264
,,,-0.84085
,,,-0.84056
,,,-0.84019
,,,-0.83767
,,,-0.83659
,,,-0.83635
,,,-0.83584
,,,-0.8344
,,,-0.82935
,,,-0.82928
,,,-0.82895
,,,-0.82776
,,,-0.82425
,,,-0.82396
,,,-0.82394
,,,-0.8234
,,,-0.82288
,,,-0.82279
,,,-0.82268
,,,-0.82258
,,,-0.82232
,,,-0.82066
,,,-0.82063
,,,-0.82003
,,,-0.8199
,,,-0.81913
,,,-0.81876
,,,-0.81876
,,,-0.81825
,,,-0.81786
,,,-0.81703
,,,-0.81474
,,,-0.81107
,,,-0.80729
,,,-0.80711
,,,-0.80221
,,,-0.80132
,,,-0.79616
,,,-0.79583
,,,-0.79544
,,,-0.79516
,,,-0.79456
,,,-0.79384
,,,-0.7938
,,,-0.79026
,,,-0.78875
,,,-0.78814
,,,-0.78735
,,,-0.78649
,,,-0.78552
,,,-0.77981
,,,-0.77784
,,,-0.77772
,,,-0.77647
,,,-0.77328
,,,-0.77073
,,,-0.76924
,,,-0.76831
,,,-0.76783
,,,-0.76507
,,,-0.76098
,,,-0.76077
,,,-0.76021
,,,-0.75995
,,,-0.75667
,,,-0.75549
,,,-0.75472
,,,-0.75252
,,,-0.75224
,,,-0.74572
,,,-0.74363
,,,-0.7428
,,,-0.74157
,,,-0.74147
,,,-0.73898
,,,-0.7362
,,,-0.73616
,,,-0.73602
,,,-0.73521
,,,-0.73382
,,,-0.73276
,,,-0.73202
,,,-0.73039
,,,-0.72887
,,,-0.72858
,,,-0.7282
,,,-0.72736
,,,-0.72713
,,,-0.72677
,,,-0.72605
,,,-0.72465
,,,-0.72032
,,,-0.7198
,,,-0.71944
,,,-0.718
,,,-0.71788
,,,-0.71743
,,,-0.71488
,,,-0.71461
,,,-0.71304
,,,-0.71281
,,,-0.71171
,,,-0.71112
,,,-0.70743
,,,-0.70621
,,,-0.70506
,,,-0.70086
,,,-0.69951
,,,-0.69867
,,,-0.69782
,,,-0.69754
,,,-0.69655
,,,-0.69639
,,,-0.69472
,,,-0.69423
,,,-0.69366
,,,-0.69324
,,,-0.69318
,,,-0.6899
,,,-0.68883
,,,-0.68603
,,,-0.68346
,,,-0.67777
,,,-0.67498
,,,-0.67433
,,,-0.67244
,,,-0.67236
